ano,edition,pais,sport,atleta,medalha,genero
1928,1928 Winter Olympics,USA,Skeleton,Jennison Heaton,Gold,Male
1948,1948 Winter Olympics,ITA,Skeleton,Nino Bibbia,Gold,Male
2002,2002 Winter Olympics,USA,Skeleton,"Jim Shea, Jr.",Gold,Male
2002,2002 Winter Olympics,USA,Skeleton,Tristan Gale,Gold,Female
2006,2006 Winter Olympics,CAN,Skeleton,Duff Gibson,Gold,Male
2006,2006 Winter Olympics,SUI,Skeleton,Maya Pedersen,Gold,Female
1964,1964 Winter Olympics,GER,Luge,Thomas Köhler,Gold,Male
1964,1964 Winter Olympics,AUT,Luge,Josef Feistmantl,Gold,Mixed
1964,1964 Winter Olympics,AUT,Luge,Manfred Stengl,Gold,Mixed
1964,1964 Winter Olympics,GER,Luge,Ortrun Enderlein,Gold,Female
1968,1968 Winter Olympics,AUT,Luge,Manfred Schmid,Gold,Male
1968,1968 Winter Olympics,GDR,Luge,Klaus-Michael Bonsack,Gold,Mixed
1968,1968 Winter Olympics,GDR,Luge,Thomas Köhler,Gold,Mixed
1968,1968 Winter Olympics,ITA,Luge,Erika Lechner,Gold,Female
1972,1972 Winter Olympics,GDR,Luge,Wolfgang Scheidel,Gold,Male
1972,1972 Winter Olympics,GDR,Luge,Horst Hörnlein,Gold,Mixed
1972,1972 Winter Olympics,ITA,Luge,Paul Hildgartner,Gold,Mixed
1972,1972 Winter Olympics,ITA,Luge,Walter Plaikner,Gold,Mixed
1972,1972 Winter Olympics,GDR,Luge,Reinhard Bredow,Gold,Mixed
1972,1972 Winter Olympics,GDR,Luge,Anna-Maria Müller,Gold,Female
1976,1976 Winter Olympics,GDR,Luge,Dettlef Günther,Gold,Male
1976,1976 Winter Olympics,GDR,Luge,Hans Rinn,Gold,Mixed
1976,1976 Winter Olympics,GDR,Luge,Norbert Hahn,Gold,Mixed
1976,1976 Winter Olympics,GDR,Luge,Margit Schumann,Gold,Female
1980,1980 Winter Olympics,GDR,Luge,Bernhard Glass,Gold,Male
1980,1980 Winter Olympics,GDR,Luge,Norbert Hahn,Gold,Mixed
1980,1980 Winter Olympics,GDR,Luge,Hans Rinn,Gold,Mixed
1980,1980 Winter Olympics,URS,Luge,Vera Zozuļa,Gold,Female
1984,1984 Winter Olympics,ITA,Luge,Paul Hildgartner,Gold,Male
1984,1984 Winter Olympics,FRG,Luge,Hans Stanggassinger,Gold,Mixed
1984,1984 Winter Olympics,FRG,Luge,Franz Wembacher,Gold,Mixed
1984,1984 Winter Olympics,GDR,Luge,Steffi Martin,Gold,Female
1988,1988 Winter Olympics,GDR,Luge,Jens Müller,Gold,Male
1988,1988 Winter Olympics,GDR,Luge,Jochen Pietzsch,Gold,Mixed
1988,1988 Winter Olympics,GDR,Luge,Jörg Hoffmann,Gold,Mixed
1988,1988 Winter Olympics,GDR,Luge,Steffi Walter,Gold,Female
1992,1992 Winter Olympics,GER,Luge,Georg Hackl,Gold,Male
1992,1992 Winter Olympics,GER,Luge,Stefan Krauße,Gold,Mixed
1992,1992 Winter Olympics,GER,Luge,Jan Behrendt,Gold,Mixed
1992,1992 Winter Olympics,AUT,Luge,Doris Neuner,Gold,Female
1994,1994 Winter Olympics,GER,Luge,Georg Hackl,Gold,Male
1994,1994 Winter Olympics,ITA,Luge,Wilfried Huber,Gold,Mixed
1994,1994 Winter Olympics,ITA,Luge,Kurt Brugger,Gold,Mixed
1994,1994 Winter Olympics,ITA,Luge,Gerda Weissensteiner,Gold,Female
1998,1998 Winter Olympics,GER,Luge,Georg Hackl,Gold,Male
1998,1998 Winter Olympics,GER,Luge,Stefan Krauße,Gold,Mixed
1998,1998 Winter Olympics,GER,Luge,Jan Behrendt,Gold,Mixed
1998,1998 Winter Olympics,GER,Luge,Silke Kraushaar,Gold,Female
2002,2002 Winter Olympics,ITA,Luge,Armin Zöggeler,Gold,Male
2002,2002 Winter Olympics,GER,Luge,Patric Leitner,Gold,Mixed
2002,2002 Winter Olympics,GER,Luge,Alexander Resch,Gold,Mixed
2002,2002 Winter Olympics,GER,Luge,Sylke Otto,Gold,Female
2006,2006 Winter Olympics,ITA,Luge,Armin Zöggeler,Gold,Male
2006,2006 Winter Olympics,AUT,Luge,Wolfgang Linger,Gold,Mixed
2006,2006 Winter Olympics,AUT,Luge,Andreas Linger,Gold,Mixed
2006,2006 Winter Olympics,GER,Luge,Sylke Otto,Gold,Female
1924,1924 Winter Olympics,SUI,Bobsleigh,Heinrich Schläppi,Gold,Male
1924,1924 Winter Olympics,SUI,Bobsleigh,Alfred Schläppi,Gold,Male
1924,1924 Winter Olympics,SUI,Bobsleigh,Alfred Neveu,Gold,Male
1924,1924 Winter Olympics,SUI,Bobsleigh,Eduard Scherrer,Gold,Male
1928,1928 Winter Olympics,USA,Bobsleigh,Geoffrey Mason,Gold,Male
1928,1928 Winter Olympics,USA,Bobsleigh,Billy Fiske,Gold,Male
1928,1928 Winter Olympics,USA,Bobsleigh,Nion Tucker,Gold,Male
1928,1928 Winter Olympics,USA,Bobsleigh,Dick Parke,Gold,Male
1928,1928 Winter Olympics,USA,Bobsleigh,Cliff Gray,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,Curtis Stevens,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,Hubert Stevens,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,J. J. O'Brien,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,Cliff Gray,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,Billy Fiske,Gold,Male
1932,1932 Winter Olympics,USA,Bobsleigh,Eddie Eagan,Gold,Male
1936,1936 Winter Olympics,USA,Bobsleigh,Ivan Brown,Gold,Male
1936,1936 Winter Olympics,USA,Bobsleigh,Al Washbond,Gold,Male
1936,1936 Winter Olympics,SUI,Bobsleigh,Charles Bouvier,Gold,Male
1936,1936 Winter Olympics,SUI,Bobsleigh,Noldi Gartmann,Gold,Male
1936,1936 Winter Olympics,SUI,Bobsleigh,Joseph Beerli,Gold,Male
1936,1936 Winter Olympics,SUI,Bobsleigh,Pierre Musy,Gold,Male
1948,1948 Winter Olympics,SUI,Bobsleigh,Fritz Waller,Gold,Male
1948,1948 Winter Olympics,SUI,Bobsleigh,Felix Endrich,Gold,Male
1948,1948 Winter Olympics,USA,Bobsleigh,Bill D'Amico,Gold,Male
1948,1948 Winter Olympics,USA,Bobsleigh,Ed Rimkus,Gold,Male
1948,1948 Winter Olympics,USA,Bobsleigh,Frank Tyler,Gold,Male
1948,1948 Winter Olympics,USA,Bobsleigh,Pat Martin,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Anderl Ostler,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Lorenz Nieberl,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Fritz Kuhn,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Lorenz Nieberl,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Franz Kemser,Gold,Male
1952,1952 Winter Olympics,GER,Bobsleigh,Anderl Ostler,Gold,Male
1956,1956 Winter Olympics,ITA,Bobsleigh,Giacomo Conti,Gold,Male
1956,1956 Winter Olympics,ITA,Bobsleigh,Lamberto Dalla Costa,Gold,Male
1956,1956 Winter Olympics,SUI,Bobsleigh,Heiri Angst,Gold,Male
1956,1956 Winter Olympics,SUI,Bobsleigh,Gottfried Diener,Gold,Male
1956,1956 Winter Olympics,SUI,Bobsleigh,Robert Alt,Gold,Male
1956,1956 Winter Olympics,SUI,Bobsleigh,Franz Kapus,Gold,Male
1964,1964 Winter Olympics,GBR,Bobsleigh,Robin Dixon,Gold,Male
1964,1964 Winter Olympics,GBR,Bobsleigh,Tony Nash,Gold,Male
1964,1964 Winter Olympics,CAN,Bobsleigh,Peter Kirby,Gold,Male
1964,1964 Winter Olympics,CAN,Bobsleigh,Vic Emery,Gold,Male
1964,1964 Winter Olympics,CAN,Bobsleigh,John Emery,Gold,Male
1964,1964 Winter Olympics,CAN,Bobsleigh,Doug Anakin,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Luciano De Paolis,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Eugenio Monti,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Roberto Zandonella,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Mario Armano,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Eugenio Monti,Gold,Male
1968,1968 Winter Olympics,ITA,Bobsleigh,Luciano De Paolis,Gold,Male
1972,1972 Winter Olympics,FRG,Bobsleigh,Wolfgang Zimmerer,Gold,Male
1972,1972 Winter Olympics,FRG,Bobsleigh,Peter Utzschneider,Gold,Male
1972,1972 Winter Olympics,SUI,Bobsleigh,Edy Hubacher,Gold,Male
1972,1972 Winter Olympics,SUI,Bobsleigh,Jean Wicki,Gold,Male
1972,1972 Winter Olympics,SUI,Bobsleigh,Werner Camichel,Gold,Male
1972,1972 Winter Olympics,SUI,Bobsleigh,Hans Leutenegger,Gold,Male
