ano,edition,pais,sport,event,atleta,medalha
1928,1928 Winter Olympics,USA,Skeleton,"Skeleton, Men",Jennison Heaton,Gold
1948,1948 Winter Olympics,ITA,Skeleton,"Skeleton, Men",Nino Bibbia,Gold
2002,2002 Winter Olympics,USA,Skeleton,"Skeleton, Men","Jim Shea, Jr.",Gold
2002,2002 Winter Olympics,USA,Skeleton,"Skeleton, Women",Tristan Gale,Gold
2006,2006 Winter Olympics,CAN,Skeleton,"Skeleton, Men",Duff Gibson,Gold
2006,2006 Winter Olympics,SUI,Skeleton,"Skeleton, Women",Maya Pedersen,Gold
1964,1964 Winter Olympics,GER,Luge,"Singles, Men",Thomas Köhler,Gold
1964,1964 Winter Olympics,AUT,Luge,"Doubles, Open",Josef Feistmantl,Gold
1964,1964 Winter Olympics,AUT,Luge,"Doubles, Open",Manfred Stengl,Gold
1964,1964 Winter Olympics,GER,Luge,"Singles, Women",Ortrun Enderlein,Gold
1968,1968 Winter Olympics,AUT,Luge,"Singles, Men",Manfred Schmid,Gold
1968,1968 Winter Olympics,GDR,Luge,"Doubles, Open",Klaus-Michael Bonsack,Gold
1968,1968 Winter Olympics,GDR,Luge,"Doubles, Open",Thomas Köhler,Gold
1968,1968 Winter Olympics,ITA,Luge,"Singles, Women",Erika Lechner,Gold
1972,1972 Winter Olympics,GDR,Luge,"Singles, Men",Wolfgang Scheidel,Gold
1972,1972 Winter Olympics,GDR,Luge,"Doubles, Open",Horst Hörnlein,Gold
1972,1972 Winter Olympics,ITA,Luge,"Doubles, Open",Paul Hildgartner,Gold
1972,1972 Winter Olympics,ITA,Luge,"Doubles, Open",Walter Plaikner,Gold
1972,1972 Winter Olympics,GDR,Luge,"Doubles, Open",Reinhard Bredow,Gold
1972,1972 Winter Olympics,GDR,Luge,"Singles, Women",Anna-Maria Müller,Gold
1976,1976 Winter Olympics,GDR,Luge,"Singles, Men",Dettlef Günther,Gold
1976,1976 Winter Olympics,GDR,Luge,"Doubles, Open",Hans Rinn,Gold
1976,1976 Winter Olympics,GDR,Luge,"Doubles, Open",Norbert Hahn,Gold
1976,1976 Winter Olympics,GDR,Luge,"Singles, Women",Margit Schumann,Gold
1980,1980 Winter Olympics,GDR,Luge,"Singles, Men",Bernhard Glass,Gold
1980,1980 Winter Olympics,GDR,Luge,"Doubles, Open",Norbert Hahn,Gold
1980,1980 Winter Olympics,GDR,Luge,"Doubles, Open",Hans Rinn,Gold
1980,1980 Winter Olympics,URS,Luge,"Singles, Women",Vera Zozuļa,Gold
1984,1984 Winter Olympics,ITA,Luge,"Singles, Men",Paul Hildgartner,Gold
1984,1984 Winter Olympics,FRG,Luge,"Doubles, Open",Hans Stanggassinger,Gold
1984,1984 Winter Olympics,FRG,Luge,"Doubles, Open",Franz Wembacher,Gold
1984,1984 Winter Olympics,GDR,Luge,"Singles, Women",Steffi Martin,Gold
1988,1988 Winter Olympics,GDR,Luge,"Singles, Men",Jens Müller,Gold
1988,1988 Winter Olympics,GDR,Luge,"Doubles, Open",Jochen Pietzsch,Gold
1988,1988 Winter Olympics,GDR,Luge,"Doubles, Open",Jörg Hoffmann,Gold
1988,1988 Winter Olympics,GDR,Luge,"Singles, Women",Steffi Walter,Gold
