ano,edition,sport,Gold,Silver,Bronze,Total
1896,1896 Summer Olympics,Artistic Gymnastics,26,9,6,41
1896,1896 Summer Olympics,Athletics,12,13,12,37
1896,1896 Summer Olympics,Cycling Road,1,1,1,3
1896,1896 Summer Olympics,Cycling Track,5,5,3,13
1896,1896 Summer Olympics,Fencing,3,3,3,9
1896,1896 Summer Olympics,Shooting,5,5,5,15
1896,1896 Summer Olympics,Swimming,4,4,2,10
1896,1896 Summer Olympics,Tennis,5,3,6,14
1896,1896 Summer Olympics,Weightlifting,2,2,2,6
1896,1896 Summer Olympics,Wrestling,1,1,1,3
1900,1900 Summer Olympics,Archery,7,7,6,20
1900,1900 Summer Olympics,Artistic Gymnastics,1,1,1,3
1900,1900 Summer Olympics,Athletics,27,27,22,76
1900,1900 Summer Olympics,Basque pelota,2,0,0,2
1900,1900 Summer Olympics,Cricket,22,12,0,34
1900,1900 Summer Olympics,Croquet,4,2,2,8
1900,1900 Summer Olympics,Cycling Track,3,3,3,9
1900,1900 Summer Olympics,Equestrian Dressage,1,1,1,3
1900,1900 Summer Olympics,Equestrian Driving,1,1,1,3
1900,1900 Summer Olympics,Equestrian Jumping,4,2,3,9
1900,1900 Summer Olympics,Fencing,7,7,7,21
1900,1900 Summer Olympics,Football,11,13,11,35
1900,1900 Summer Olympics,Golf,2,2,2,6
1900,1900 Summer Olympics,Polo,5,4,12,21
1900,1900 Summer Olympics,Rowing,23,21,24,68
1900,1900 Summer Olympics,Rugby,17,30,0,47
1900,1900 Summer Olympics,Sailing,29,44,32,105
1900,1900 Summer Olympics,Shooting,16,17,16,49
1900,1900 Summer Olympics,Swimming,11,11,11,33
1900,1900 Summer Olympics,Tennis,6,10,16,32
1900,1900 Summer Olympics,Tug-Of-War,12,6,0,18
1900,1900 Summer Olympics,Water Polo,7,10,15,32
1904,1904 Summer Olympics,Archery,12,8,8,28
1904,1904 Summer Olympics,Artistic Gymnastics,19,15,17,51
1904,1904 Summer Olympics,Athletics,28,28,23,79
1904,1904 Summer Olympics,Boxing,7,7,4,18
1904,1904 Summer Olympics,Cycling Track,7,7,7,21
1904,1904 Summer Olympics,Diving,1,1,1,3
1904,1904 Summer Olympics,Fencing,10,7,4,21
1904,1904 Summer Olympics,Football,14,11,12,37
1904,1904 Summer Olympics,Golf,11,11,12,34
1904,1904 Summer Olympics,Lacrosse,12,12,12,36
1904,1904 Summer Olympics,Roque,1,1,1,3
1904,1904 Summer Olympics,Rowing,22,20,13,55
1904,1904 Summer Olympics,Swimming,13,13,13,39
1904,1904 Summer Olympics,Tennis,3,3,6,12
1904,1904 Summer Olympics,Tug-Of-War,5,5,5,15
1904,1904 Summer Olympics,Water Polo,7,7,7,21
1904,1904 Summer Olympics,Weightlifting,2,2,2,6
1904,1904 Summer Olympics,Wrestling,7,7,7,21
1908,1908 Summer Olympics,Archery,3,3,3,9
1908,1908 Summer Olympics,Artistic Gymnastics,39,31,27,97
1908,1908 Summer Olympics,Athletics,34,34,33,101
1908,1908 Summer Olympics,Boxing,5,5,5,15
1908,1908 Summer Olympics,Cycling Track,10,10,10,30
1908,1908 Summer Olympics,Diving,2,2,3,7
1908,1908 Summer Olympics,Fencing,14,13,14,41
1908,1908 Summer Olympics,Figure Skating,5,5,5,15
1908,1908 Summer Olympics,Football,33,17,30,80
1908,1908 Summer Olympics,Hockey,13,12,22,47
1908,1908 Summer Olympics,Jeu De Paume,1,1,1,3
1908,1908 Summer Olympics,Lacrosse,15,12,0,27
1908,1908 Summer Olympics,Motorboating,7,0,0,7
1908,1908 Summer Olympics,Polo,4,8,0,12
1908,1908 Summer Olympics,Racquets,3,3,4,10
1908,1908 Summer Olympics,Rowing,23,23,39,85
1908,1908 Summer Olympics,Rugby,31,17,0,48
1908,1908 Summer Olympics,Sailing,22,18,8,48
1908,1908 Summer Olympics,Shooting,41,39,37,117
1908,1908 Summer Olympics,Swimming,9,9,9,27
1908,1908 Summer Olympics,Tennis,8,8,8,24
1908,1908 Summer Olympics,Tug-Of-War,8,8,8,24
1908,1908 Summer Olympics,Water Polo,7,7,7,21
1908,1908 Summer Olympics,Wrestling,9,9,9,27
1912,1912 Summer Olympics,Art Competitions,5,1,0,6
1912,1912 Summer Olympics,Artistic Gymnastics,67,68,73,208
1912,1912 Summer Olympics,Athletics,51,50,42,143
1912,1912 Summer Olympics,Cycling Road,13,13,10,36
1912,1912 Summer Olympics,Diving,4,4,4,12
1912,1912 Summer Olympics,Equestrian Dressage,1,1,1,3
1912,1912 Summer Olympics,Equestrian Eventing,5,5,5,15
1912,1912 Summer Olympics,Equestrian Jumping,5,5,5,15
1912,1912 Summer Olympics,Fencing,19,19,19,57
1912,1912 Summer Olympics,Football,34,20,19,73
1912,1912 Summer Olympics,Modern Pentathlon,1,1,1,3
1912,1912 Summer Olympics,Rowing,20,20,26,66
1912,1912 Summer Olympics,Sailing,26,25,22,73
1912,1912 Summer Olympics,Shooting,48,48,48,144
1912,1912 Summer Olympics,Swimming,15,15,15,45
1912,1912 Summer Olympics,Tennis,12,12,12,36
1912,1912 Summer Olympics,Tug-Of-War,8,8,0,16
1912,1912 Summer Olympics,Water Polo,7,7,9,23
1912,1912 Summer Olympics,Wrestling,4,6,5,15
1920,1920 Summer Olympics,Archery,41,29,10,80
1920,1920 Summer Olympics,Art Competitions,3,5,3,11
1920,1920 Summer Olympics,Artistic Gymnastics,72,76,51,199
1920,1920 Summer Olympics,Athletics,44,48,44,136
1920,1920 Summer Olympics,Boxing,8,8,8,24
1920,1920 Summer Olympics,Cycling Road,5,5,5,15
1920,1920 Summer Olympics,Cycling Track,8,8,8,24
1920,1920 Summer Olympics,Diving,5,5,5,15
1920,1920 Summer Olympics,Equestrian Dressage,1,1,1,3
1920,1920 Summer Olympics,Equestrian Eventing,5,5,5,15
1920,1920 Summer Olympics,Equestrian Jumping,5,5,5,15
1920,1920 Summer Olympics,Equestrian Vaulting,4,4,4,12
1920,1920 Summer Olympics,Fencing,28,22,22,72
1920,1920 Summer Olympics,Figure Skating,4,4,4,12
1920,1920 Summer Olympics,Football,22,22,22,66
1920,1920 Summer Olympics,Hockey,15,14,15,44
1920,1920 Summer Olympics,Ice Hockey,8,11,9,28
1920,1920 Summer Olympics,Modern Pentathlon,1,1,1,3
1920,1920 Summer Olympics,Polo,4,5,4,13
1920,1920 Summer Olympics,Rowing,20,20,20,60
1920,1920 Summer Olympics,Rugby,21,19,0,40
1920,1920 Summer Olympics,Sailing,64,24,8,96
1920,1920 Summer Olympics,Shooting,66,66,66,198
1920,1920 Summer Olympics,Swimming,16,17,16,49
1920,1920 Summer Olympics,Tennis,8,8,8,24
1920,1920 Summer Olympics,Tug-Of-War,9,8,8,25
1920,1920 Summer Olympics,Water Polo,7,8,10,25
1920,1920 Summer Olympics,Weightlifting,5,5,5,15
1920,1920 Summer Olympics,Wrestling,10,10,11,31
1924,1924 Summer Olympics,Art Competitions,3,5,6,14
1924,1924 Summer Olympics,Artistic Gymnastics,16,17,16,49
1924,1924 Summer Olympics,Athletics,51,49,49,149
1924,1924 Summer Olympics,Boxing,8,8,8,24
1924,1924 Summer Olympics,Cycling Road,5,5,5,15
1924,1924 Summer Olympics,Cycling Track,8,8,8,24
1924,1924 Summer Olympics,Diving,5,5,5,15
1924,1924 Summer Olympics,Equestrian Dressage,1,1,1,3
1924,1924 Summer Olympics,Equestrian Eventing,5,5,5,15
1924,1924 Summer Olympics,Equestrian Jumping,5,5,5,15
1924,1924 Summer Olympics,Fencing,28,28,25,81
1924,1924 Summer Olympics,Football,22,22,22,66
1924,1924 Summer Olympics,Modern Pentathlon,1,1,1,3
1924,1924 Summer Olympics,Polo,6,4,4,14
1924,1924 Summer Olympics,Rowing,32,29,25,86
1924,1924 Summer Olympics,Rugby,26,28,22,76
1924,1924 Summer Olympics,Sailing,9,9,9,27
1924,1924 Summer Olympics,Shooting,25,25,25,75
1924,1924 Summer Olympics,Swimming,18,19,19,56
1924,1924 Summer Olympics,Tennis,8,8,8,24
1924,1924 Summer Olympics,Water Polo,11,11,11,33
1924,1924 Summer Olympics,Weightlifting,5,5,5,15
1924,1924 Summer Olympics,Wrestling,13,13,13,39
1924,1924 Winter Olympics,Alpinism,84,0,0,84
1924,1924 Winter Olympics,Bobsleigh,4,4,5,13
1924,1924 Winter Olympics,Cross Country Skiing,2,2,2,6
1924,1924 Winter Olympics,Curling,9,8,6,23
1924,1924 Winter Olympics,Figure Skating,4,4,4,12
1924,1924 Winter Olympics,Ice Hockey,10,10,12,32
1924,1924 Winter Olympics,Military Ski Patrol,4,4,4,12
1924,1924 Winter Olympics,Nordic Combined,1,1,1,3
1924,1924 Winter Olympics,Ski Jumping,1,1,1,3
1924,1924 Winter Olympics,Speed Skating,5,5,6,16
1928,1928 Summer Olympics,Art Competitions,9,10,10,29
1928,1928 Summer Olympics,Artistic Gymnastics,24,26,26,76
1928,1928 Summer Olympics,Athletics,45,46,47,138
1928,1928 Summer Olympics,Boxing,8,8,8,24
1928,1928 Summer Olympics,Cycling Road,5,5,5,15
1928,1928 Summer Olympics,Cycling Track,8,9,8,25
1928,1928 Summer Olympics,Diving,4,4,4,12
1928,1928 Summer Olympics,Equestrian Dressage,4,4,4,12
1928,1928 Summer Olympics,Equestrian Eventing,4,4,4,12
1928,1928 Summer Olympics,Equestrian Jumping,4,4,4,12
1928,1928 Summer Olympics,Fencing,22,22,21,65
1928,1928 Summer Olympics,Football,22,22,22,66
1928,1928 Summer Olympics,Hockey,15,22,22,59
1928,1928 Summer Olympics,Modern Pentathlon,1,1,1,3
1928,1928 Summer Olympics,Rowing,32,32,31,95
1928,1928 Summer Olympics,Sailing,11,11,12,34
1928,1928 Summer Olympics,Swimming,21,18,18,57
1928,1928 Summer Olympics,Water Polo,11,11,9,31
1928,1928 Summer Olympics,Weightlifting,6,4,5,15
1928,1928 Summer Olympics,Wrestling,13,13,13,39
1928,1928 Winter Olympics,Bobsleigh,5,5,5,15
1928,1928 Winter Olympics,Cross Country Skiing,2,2,2,6
1928,1928 Winter Olympics,Figure Skating,4,4,4,12
1928,1928 Winter Olympics,Ice Hockey,13,12,12,37
1928,1928 Winter Olympics,Nordic Combined,1,1,1,3
1928,1928 Winter Olympics,Skeleton,1,1,1,3
1928,1928 Winter Olympics,Ski Jumping,1,1,1,3
1928,1928 Winter Olympics,Speed Skating,4,2,5,11
1932,1932 Summer Olympics,Alpinism,2,0,0,2
1932,1932 Summer Olympics,Art Competitions,8,9,6,23
1932,1932 Summer Olympics,Artistic Gymnastics,15,15,15,45
1932,1932 Summer Olympics,Athletics,49,47,44,140
1932,1932 Summer Olympics,Boxing,8,8,8,24
1932,1932 Summer Olympics,Cycling Road,5,5,5,15
1932,1932 Summer Olympics,Cycling Track,8,8,8,24
1932,1932 Summer Olympics,Diving,4,4,4,12
1932,1932 Summer Olympics,Equestrian Dressage,4,4,4,12
1932,1932 Summer Olympics,Equestrian Eventing,4,4,1,9
1932,1932 Summer Olympics,Equestrian Jumping,1,1,1,3
1932,1932 Summer Olympics,Fencing,22,21,22,65
1932,1932 Summer Olympics,Hockey,15,13,17,45
1932,1932 Summer Olympics,Modern Pentathlon,1,1,1,3
1932,1932 Summer Olympics,Rowing,36,29,27,92
1932,1932 Summer Olympics,Sailing,19,14,7,40
1932,1932 Summer Olympics,Shooting,2,2,2,6
1932,1932 Summer Olympics,Swimming,17,17,17,51
1932,1932 Summer Olympics,Water Polo,11,10,11,32
1932,1932 Summer Olympics,Weightlifting,5,5,5,15
1932,1932 Summer Olympics,Wrestling,14,14,14,42
1932,1932 Winter Olympics,Bobsleigh,6,6,6,18
1932,1932 Winter Olympics,Cross Country Skiing,2,2,2,6
1932,1932 Winter Olympics,Figure Skating,4,4,4,12
1932,1932 Winter Olympics,Ice Hockey,14,14,10,38
1932,1932 Winter Olympics,Nordic Combined,1,1,1,3
1932,1932 Winter Olympics,Ski Jumping,1,1,1,3
1932,1932 Winter Olympics,Speed Skating,4,4,4,12
1936,1936 Summer Olympics,Aeronautics,1,0,0,1
1936,1936 Summer Olympics,Alpinism,2,0,0,2
1936,1936 Summer Olympics,Art Competitions,9,12,11,32
1936,1936 Summer Olympics,Artistic Gymnastics,23,23,24,70
1936,1936 Summer Olympics,Athletics,50,49,48,147
1936,1936 Summer Olympics,Basketball,14,14,11,39
1936,1936 Summer Olympics,Boxing,8,8,8,24
1936,1936 Summer Olympics,Canoe Marathon,8,8,8,24
1936,1936 Summer Olympics,Canoe Sprint,6,6,6,18
1936,1936 Summer Olympics,Cycling Road,5,5,5,15
1936,1936 Summer Olympics,Cycling Track,8,8,8,24
1936,1936 Summer Olympics,Diving,4,4,4,12
1936,1936 Summer Olympics,Equestrian Dressage,4,4,4,12
1936,1936 Summer Olympics,Equestrian Eventing,4,4,4,12
1936,1936 Summer Olympics,Equestrian Jumping,4,4,4,12
1936,1936 Summer Olympics,Fencing,22,22,22,66
1936,1936 Summer Olympics,Football,22,20,22,64
1936,1936 Summer Olympics,Handball,22,22,18,62
1936,1936 Summer Olympics,Hockey,22,22,18,62
1936,1936 Summer Olympics,Modern Pentathlon,1,1,1,3
1936,1936 Summer Olympics,Polo,4,4,4,12
1936,1936 Summer Olympics,Rowing,33,29,35,97
1936,1936 Summer Olympics,Sailing,14,14,14,42
1936,1936 Summer Olympics,Shooting,3,3,3,9
1936,1936 Summer Olympics,Swimming,21,21,21,63
1936,1936 Summer Olympics,Water Polo,11,11,11,33
1936,1936 Summer Olympics,Weightlifting,6,4,5,15
1936,1936 Summer Olympics,Wrestling,14,14,14,42
1936,1936 Winter Olympics,Alpine Skiing,2,2,2,6
1936,1936 Winter Olympics,Bobsleigh,6,6,6,18
1936,1936 Winter Olympics,Cross Country Skiing,6,6,6,18
1936,1936 Winter Olympics,Figure Skating,4,4,4,12
1936,1936 Winter Olympics,Ice Hockey,13,15,13,41
1936,1936 Winter Olympics,Nordic Combined,1,1,1,3
1936,1936 Winter Olympics,Ski Jumping,1,1,1,3
1936,1936 Winter Olympics,Speed Skating,4,4,4,12
1948,1948 Summer Olympics,Art Competitions,8,11,13,32
1948,1948 Summer Olympics,Artistic Gymnastics,25,22,25,72
1948,1948 Summer Olympics,Athletics,51,51,49,151
1948,1948 Summer Olympics,Basketball,14,14,12,40
1948,1948 Summer Olympics,Boxing,8,8,8,24
1948,1948 Summer Olympics,Canoe Marathon,6,6,6,18
1948,1948 Summer Olympics,Canoe Sprint,7,7,7,21
1948,1948 Summer Olympics,Cycling Road,5,5,5,15
1948,1948 Summer Olympics,Cycling Track,8,8,8,24
1948,1948 Summer Olympics,Diving,4,4,4,12
1948,1948 Summer Olympics,Equestrian Dressage,4,4,4,12
1948,1948 Summer Olympics,Equestrian Eventing,4,4,4,12
1948,1948 Summer Olympics,Equestrian Jumping,4,4,4,12
1948,1948 Summer Olympics,Fencing,22,23,22,67
1948,1948 Summer Olympics,Football,18,22,22,62
1948,1948 Summer Olympics,Hockey,20,19,22,61
1948,1948 Summer Olympics,Modern Pentathlon,1,1,1,3
1948,1948 Summer Olympics,Rowing,26,26,26,78
1948,1948 Summer Olympics,Sailing,13,14,13,40
1948,1948 Summer Olympics,Shooting,4,4,4,12
1948,1948 Summer Olympics,Swimming,24,21,21,66
1948,1948 Summer Olympics,Water Polo,11,11,11,33
1948,1948 Summer Olympics,Weightlifting,6,6,6,18
1948,1948 Summer Olympics,Wrestling,16,16,16,48
1948,1948 Winter Olympics,Alpine Skiing,6,6,7,19
1948,1948 Winter Olympics,Bobsleigh,6,6,6,18
1948,1948 Winter Olympics,Cross Country Skiing,6,6,6,18
1948,1948 Winter Olympics,Figure Skating,4,4,4,12
1948,1948 Winter Olympics,Ice Hockey,17,17,17,51
1948,1948 Winter Olympics,Nordic Combined,1,1,1,3
1948,1948 Winter Olympics,Skeleton,1,1,1,3
1948,1948 Winter Olympics,Ski Jumping,1,1,1,3
1948,1948 Winter Olympics,Speed Skating,4,6,3,13
1952,1952 Summer Olympics,Artistic Gymnastics,36,39,35,110
1952,1952 Summer Olympics,Athletics,51,53,52,156
1952,1952 Summer Olympics,Basketball,14,14,12,40
1952,1952 Summer Olympics,Boxing,10,10,20,40
1952,1952 Summer Olympics,Canoe Marathon,6,6,6,18
1952,1952 Summer Olympics,Canoe Sprint,7,7,7,21
1952,1952 Summer Olympics,Cycling Road,5,5,5,15
1952,1952 Summer Olympics,Cycling Track,8,8,8,24
1952,1952 Summer Olympics,Diving,4,4,4,12
1952,1952 Summer Olympics,Equestrian Dressage,4,4,4,12
1952,1952 Summer Olympics,Equestrian Eventing,4,4,4,12
1952,1952 Summer Olympics,Equestrian Jumping,4,4,4,12
1952,1952 Summer Olympics,Fencing,22,22,22,66
1952,1952 Summer Olympics,Football,20,20,20,60
1952,1952 Summer Olympics,Hockey,18,11,16,45
1952,1952 Summer Olympics,Modern Pentathlon,4,4,4,12
1952,1952 Summer Olympics,Rowing,26,26,26,78
1952,1952 Summer Olympics,Sailing,16,14,14,44
1952,1952 Summer Olympics,Shooting,7,7,7,21
1952,1952 Summer Olympics,Swimming,25,22,21,68
1952,1952 Summer Olympics,Water Polo,13,11,11,35
1952,1952 Summer Olympics,Weightlifting,7,7,7,21
1952,1952 Summer Olympics,Wrestling,16,16,16,48
1952,1952 Winter Olympics,Alpine Skiing,6,6,6,18
1952,1952 Winter Olympics,Bobsleigh,6,6,6,18
1952,1952 Winter Olympics,Cross Country Skiing,7,7,7,21
1952,1952 Winter Olympics,Figure Skating,4,4,4,12
1952,1952 Winter Olympics,Ice Hockey,16,15,17,48
1952,1952 Winter Olympics,Nordic Combined,1,1,1,3
1952,1952 Winter Olympics,Ski Jumping,1,1,1,3
1952,1952 Winter Olympics,Speed Skating,4,4,5,13
1956,1956 Equestrian Olympics,Equestrian Dressage,4,4,4,12
1956,1956 Equestrian Olympics,Equestrian Eventing,4,4,4,12
1956,1956 Equestrian Olympics,Equestrian Jumping,4,4,4,12
1956,1956 Summer Olympics,Artistic Gymnastics,32,31,37,100
1956,1956 Summer Olympics,Athletics,52,51,51,154
1956,1956 Summer Olympics,Basketball,12,12,12,36
1956,1956 Summer Olympics,Boxing,10,10,20,40
1956,1956 Summer Olympics,Canoe Marathon,6,6,6,18
1956,1956 Summer Olympics,Canoe Sprint,7,7,7,21
1956,1956 Summer Olympics,Cycling Road,5,5,5,15
1956,1956 Summer Olympics,Cycling Track,9,8,8,25
1956,1956 Summer Olympics,Diving,4,4,4,12
1956,1956 Summer Olympics,Fencing,22,22,22,66
