pais,Gold,Silver,Bronze,Total
USA,3076,1956,1592,6624
URS,1099,743,704,2546
GBR,852,836,846,2534
GER,844,832,881,2557
ITA,628,600,611,1839
FRA,622,782,759,2163
CAN,596,545,591,1732
SWE,529,586,557,1672
CHN,495,486,385,1366
HUN,466,356,427,1249
NOR,448,409,357,1214
AUS,442,538,633,1613
NED,416,417,528,1361
GDR,406,340,285,1031
RUS,374,347,400,1121
JPN,354,415,440,1209
KOR,277,293,236,806
FIN,223,277,490,990
SUI,190,270,297,757
DEN,190,270,210,670
CUB,184,137,134,455
ROU,175,213,304,692
IND,165,30,87,282
FRG,161,198,249,608
ESP,160,310,203,673
BRA,148,231,250,629
NZL,148,103,99,350
POL,139,235,287,661
BEL,136,203,188,527
YUG,135,191,93,419
EUN,132,75,84,291
AUT,127,210,176,513
ARG,100,126,134,360
ROC,96,151,62,309
TCH,82,226,187,495
CRO,66,73,42,181
BUL,64,148,152,364
CZE,56,43,85,184
UKR,54,64,125,243
PAK,53,54,34,141
JAM,51,93,50,194
SRB,46,31,72,149
KEN,44,48,41,133
URU,44,2,30,76
GRE,41,78,63,182
TUR,41,30,43,114
MEX,36,30,88,154
ANZ,36,4,5,45
RSA,35,55,67,157
BLR,29,52,70,151
NGR,29,39,52,120
IRI,27,29,32,88
FIJ,26,14,13,53
ETH,24,15,23,62
CMR,21,1,2,24
NEP,21,0,0,21
UZB,19,8,23,50
SVK,18,24,42,84
SLO,18,22,31,71
ZIM,18,4,1,23
IRL,17,13,23,53
EST,17,12,27,56
KAZ,16,27,44,87
PRK,16,21,40,77
BAH,16,11,15,42
INA,15,19,18,52
SCG,13,27,26,66
GEO,13,15,19,47
TPE,11,34,28,73
LAT,11,15,22,48
THA,11,11,19,41
AZE,9,16,31,56
EGY,9,11,19,39
MAR,8,5,31,44
POR,7,14,29,50
TTO,7,8,19,34
ALG,7,4,9,20
LTU,6,10,54,70
TUN,6,4,8,18
COL,5,16,17,38
UGA,5,5,3,13
CHI,4,10,25,39
ISR,4,10,20,34
DOM,4,9,29,42
ECU,4,5,2,11
HKG,4,4,8,16
BRN,4,3,1,8
VEN,3,7,9,19
PHI,3,5,10,18
LUX,3,4,0,7
KOS,3,1,1,5
MGL,2,12,17,31
ARM,2,11,9,22
PUR,2,2,8,12
LIE,2,2,6,10
QAT,2,2,6,10
PER,1,14,1,16
BOT,1,7,5,13
SGP,1,4,5,10
AIN,1,4,1,6
VIE,1,3,1,5
JOR,1,2,1,4
TJK,1,1,5,7
CIV,1,1,3,5
GRN,1,1,3,5
IOA,1,1,3,5
CRC,1,1,2,4
PAN,1,1,2,4
SYR,1,1,2,4
GUA,1,1,1,3
BDI,1,1,0,2
LCA,1,1,0,2
BER,1,0,1,2
MOZ,1,0,1,2
SUR,1,0,1,2
UAE,1,0,1,2
DMA,1,0,0,1
PAR,0,22,0,22
ISL,0,15,2,17
MNE,0,15,0,15
MAS,0,12,10,22
KGZ,0,5,8,13
NAM,0,5,0,5
MDA,0,4,7,11
KSA,0,2,5,7
LBN,0,2,2,4
SMR,0,2,2,4
CYP,0,2,0,2
SRI,0,2,0,2
TAN,0,2,0,2
GHA,0,1,23,24
BOH,0,1,9,10
HAI,0,1,5,6
ZAM,0,1,2,3
MKD,0,1,1,2
NIG,0,1,1,2
UAR,0,1,1,2
AHO,0,1,0,1
GAB,0,1,0,1
ISV,0,1,0,1
SAM,0,1,0,1
SEN,0,1,0,1
SUD,0,1,0,1
TGA,0,1,0,1
TKM,0,1,0,1
WIF,0,0,7,7
KUW,0,0,3,3
AFG,0,0,2,2
ALB,0,0,2,2
BAR,0,0,1,1
BUR,0,0,1,1
CPV,0,0,1,1
DJI,0,0,1,1
EOR,0,0,1,1
ERI,0,0,1,1
GUY,0,0,1,1
IRQ,0,0,1,1
MON,0,0,1,1
MRI,0,0,1,1
TOG,0,0,1,1
